smiles,additional comment,IsPolymerized,delta_FE(H2),delta_FE(CO),delta_FE(HCOOH),delta_FE(CH4),delta_FE(CH3OH),delta_FE(C1),delta_FE(C2H4),delta_FE(C2H6),delta_FE(C2H5OH),delta_FE(Acetaldehyde),delta_FE(CH3CO2H),delta_FE(C3H6),delta_FE(C3H7OH),delta_FE(AllylOH),delta_FE(C2+),typical voltage (V vs RHE),typical current density(mA/cm2),delta_current density ratio,Is Voltage reliable,Is current density reliable,typical pH,typicalelectrolyte,Setcurrent_density,cell type,ref,additional comments
O=C(C1=C(C(O)=O)C=C(C(O)=O)C(C(O)=O)=C1)O,MOF,No,NaN,NaN,0,NaN,0,NaN,0,0,8.2,0,44.5,0,0,0,52.7,-0.4,11.5,-0.041666667,Yes,Yes,neutral,KCl(0.1M),FALSE,H-Cell,"Nature Communications 2019, 10 (1), 3851. DOI: 10.1038/s41467-019-11599-7.",
O=C(C1=C(C(O)=O)C=C(C(O)=O)C(C(O)=O)=C1)O,MOF,No,NaN,NaN,0,NaN,0,NaN,0,0,34,0,6,0,0,0,40,-0.55,20,0.666666667,Yes,Yes,neutral,KCl(0.1M),FALSE,H-Cell,"Nature Communications 2019, 10 (1), 3851. DOI: 10.1038/s41467-019-11599-7.",
O=C(C1=CC=C(C(O)=O)C(C(O)=O)=C1)O,MOF,No,NaN,NaN,0,NaN,0,NaN,0,0,4,0,36,0,0,0,39.6,-0.4,8.1,-0.325,Yes,Yes,neutral,KCl(0.1M),FALSE,H-Cell,"Nature Communications 2019, 10 (1), 3851. DOI: 10.1038/s41467-019-11599-7.",
O=C(C1=CC(C(O)=O)=CC(C(O)=O)=C1)O,MOF,No,NaN,NaN,0,NaN,0,NaN,0,0,18,0,12,0,0,0,28.7,-0.4,7.3,-0.391666667,Yes,Yes,neutral,KCl(0.1M),FALSE,H-Cell,"Nature Communications 2019, 10 (1), 3851. DOI: 10.1038/s41467-019-11599-7.",
O=C(C1=CC=CC(C(O)=O)=C1C(O)=O)O,MOF,No,NaN,NaN,0,NaN,0,NaN,0,0,2,0,29,0,0,0,26.4,-0.4,7.4,-0.383333333,Yes,Yes,neutral,KCl(0.1M),FALSE,H-Cell,"Nature Communications 2019, 10 (1), 3851. DOI: 10.1038/s41467-019-11599-7.",
O=C(C1=C(C(O)=O)C=CC=N1)O,MOF,No,NaN,NaN,0,NaN,0,NaN,0,0,-3,0,25,0,0,0,22.2,-0.4,5.1,-0.575,Yes,Yes,neutral,KCl(0.1M),FALSE,H-Cell,"Nature Communications 2019, 10 (1), 3851. DOI: 10.1038/s41467-019-11599-7.",
O=C(C1=CC=C(C(O)=O)C=C1)O,MOF,No,NaN,NaN,0,NaN,0,NaN,0,0,-9,0,24,0,0,0,13.8,-0.4,2.8,-0.766666667,Yes,Yes,neutral,KCl(0.1M),FALSE,H-Cell,"Nature Communications 2019, 10 (1), 3851. DOI: 10.1038/s41467-019-11599-7.",
CS,,No,-20,2,-2,-2,0,-2,5,0,12,0,0,0,0,0,17,-1.2,1.3,0,Yes,No,neutral,NaHCO3(0.1M),FALSE,H-Cell,"ACS Catalysis 2020, 10 (24), 15238-15249. DOI: 10.1021/acscatal.0c04106.",
Cl[Fe]123<-N4=C5C=CC4=C(c4ccccc4)c4ccc(n41)C(c1ccccc1)=C1C=CC(=N->21)C(c1ccccc1)=c1ccc(n13)=C5c1ccccc1,,No,-2,-1,-2,0.5,0,-2.5,-11.5,0,11.8,0,-1,0,-2,0,-2.7,-0.8,124,0.409090909,Yes,Yes,weak base,KHCO3(1M),FALSE,GDE,"Nature Catalysis 2020, 3 (1), 75-82. DOI: 10.1038/s41929-019-0383-7.",
C1=CC2=N3->[Ni]45<-N6=C(C=CC6=C(c6ccccc6)c6ccc(n64)C(c4ccccc4)=C13)C(c1ccccc1)=c1ccc(n15)=C2c1ccccc1,,No,2,0,-3,-0.5,0,-3.5,-8,0,7.6,0,-3,0,0,0,-3.4,-0.8,100,0,Yes,No,weak base,KHCO3(1M),FALSE,GDE,"Nature Catalysis 2020, 3 (1), 75-82. DOI: 10.1038/s41929-019-0383-7.",estimated current density
C1(/C(C2=CC=CC=C2)=C(C=C/3)\NC3=C4\C5=CC=CC=C5)=N/C(C=C1)=C(C6=CC=CC=C6)\C7=CC=C(/C(C8=CC=CC=C8)=C9C=CC4=N/9)N7,,No,8,-2.5,-4.5,2.5,0,-4.5,-7,0,-1.4,0,-2,0,-4,0,-14.4,-0.8,100,0,Yes,No,weak base,KHCO3(1M),FALSE,GDE,"Nature Catalysis 2020, 3 (1), 75-82. DOI: 10.1038/s41929-019-0383-7.",estimated current density
Fc1c(F)c(F)c(C2=C3C=CC4=N3->[Fe]35(Cl)<-N6=C(C=CC6=C(c6c(F)c(F)c(F)c(F)c6F)c6ccc2n63)C(c2c(F)c(F)c(F)c(F)c2F)=c2ccc(n25)=C4c2c(F)c(F)c(F)c(F)c2F)c(F)c1F,,No,0,-1,-1,-0.5,0,-2.5,-12,0,8.6,0,-2,0,-3,0,-8.4,-0.8,100,0,Yes,No,weak base,KHCO3(1M),FALSE,GDE,"Nature Catalysis 2020, 3 (1), 75-82. DOI: 10.1038/s41929-019-0383-7.",estimated current density
COc1ccc(C2=C3C=CC4=N3->[Fe]35(Cl)<-N6=C(C=CC6=C(c6ccc(OC)cc6)c6ccc2n63)C(c2ccc(OC)cc2)=c2ccc(n25)=C4c2ccc(OC)cc2)cc1,,No,0,-2,-3,1.5,0,-3.5,-9,0,8.6,0,-2,0,-2,0,-4.4,-0.8,100,0,Yes,No,weak base,KHCO3(1M),FALSE,GDE,"Nature Catalysis 2020, 3 (1), 75-82. DOI: 10.1038/s41929-019-0383-7.",estimated current density
C1=CC2=N3->[Co]45<-N6=C(C=CC6=C(c6ccccc6)c6ccc(n64)C(c4ccccc4)=C13)C(c1ccccc1)=c1ccc(n15)=C2c1ccccc1,,No,-2,-2,-3,0.5,0,-4.5,-12,0,8.6,0,-3,0,0,0,-6.4,-0.8,100,0,Yes,No,weak base,KHCO3(1M),FALSE,GDE,"Nature Catalysis 2020, 3 (1), 75-82. DOI: 10.1038/s41929-019-0383-7.",estimated current density
