c1ncnn1,c1ccc2ncccc2c1,c1cnccc[nH]cccnccc[nH]c1,c1ccoc1,c1c[n+]cn1,C1=Cc2cccn2[Ni]<-N1,C1=Ccnc1,c1nncs1,c1cc[n+]cc1,C1=Cc2cccn2[Co]<-N1,c1ccsc1,c1ccccc1,c1ccc2c(c1)c1ccccc1c1ccccc21,c1ccc2ccccc2c1,c1c[nH]cn1,c1cc[nH]c1,c1ccc2[nH]ccc2c1,c1ccc2nc3ccccc3nc2c1,c1ccncc1,C1=Cc2cccn2[Fe]<-N1,c1cnc2c(c1)ccc1cccnc12,c1ncc2[nH]cnc2n1,c1ccnc1,c1nc[nH]n1,c1ccc2[s+]c3ccccc3nc2c1,c1c[n+]c2c(c1)ccc1ccc[n+]c12,c1ncc2ncnc2n1,Alkene,Alkyne,Allene,Alkylchloride,Alkylfluoride,Alkylbromide,Alkyliodide,Alcohol,Dialkylether,Alkylarylether,Diarylether,Diarylthioether,Oxonium,Primary_aliph_amine,Secondary_aliph_amine,Tertiary_aliph_amine,Quaternary_aliph_ammonium,Primary_arom_amine,Secondary_arom_amine,Tertiary_arom_amine,Quaternary_arom_ammonium,Ammonium,Alkylthiol,Dialkylthioether,Alkylarylthioether,Disulfide,1comma2-Aminoalcohol,1comma2-Diol,1comma1-Diol,Hydroperoxide,Peroxo,Organometallic_compounds,Aldehyde,Ketone,Thioaldehyde,Thioketone,Imine,Immonium,Oxime,Oximether,Acetal,Hemiacetal,Aminal,Hemiaminal,Thioacetal,Thiohemiacetal,Chloroalkene,Fluoroalkene,Bromoalkene,Iodoalkene,Enol,Enamine,Acylhalide,Carboxylic_acid,Carboxylic_ester,Lactone,Carboxylic_anhydride,Thioacetate,Ethanethioic,Amide,Lactam,Alpha_aminoacid,Alpha_hydroxyacid,Ketene,Nitrile,Isonitrile,Urea,Thiourea,Guanidine,Isocyanate,Cyanate,Isothiocyanate,Thiocyanate,Phenol,1comma2-Diphenol,Arylchloride,Arylfluoride,Arylbromide,Aryliodide,Arylthiol,Iminoarene,Oxoarene,Thioarene,Nitrite,Thionitrite,Nitrate,Nitro,Diazo,Azide,Hydrazine,Hydrazone,Sulfon,Sulfoxide,Sulfuric_derivative,Sulfonic_derivative,Sulfinic_derivative,Sulfenic_derivative,Phosphine,Phosphine_oxide,Phosphonium,Phosphonic_acid_derivative,Phosphoric_acid_derivative,Phosphinic_acid_derivative,Phosphonous_derivatives,Phosphinous_derivatives,Quart_silane,Non-quart_silane,Silylmonohalide,Silicic_acid_derivative,Trialkylborane,Boric_acid_derivatives,Sugar_pattern_combi,Num of Conju-Stru (MFF-Conju),Num of Conju-All-Atoms (MFF-Conju),Atom Num Conju-All Ratio (MFF-Conju),AtomWt Conju-All Ratio (MFF-Conju),Full-Mol Wiener Index (MFF-Conju),Individual Conju-Atom Number (MFF-Conju),Conju-Part-Wt (MFF-Conju),Conju-AtomicWt (MFF-Conju),Max Conju-Distance (MFF-Conju),Conju-Branch Index (MFF-Conju),Conju-Stru Wiener Index (MFF-Conju),Conju-Stru-VSA (MFF-Conju),Conju-PEOE-Charge-MaxMinDisRatio (MFF-Conju),Conju-Atomic-LogP-Sum (MFF-Conju),Conju-Atomic-LogP-AtomicMean (MFF-Conju),Conju-Atomic-LogP-Maximum (MFF-Conju),Conju-Atomic-LogP-Minimum (MFF-Conju),Conju-Atomic-LogP-Delta (MFF-Conju),Conju-Atomic-LogP-STD (MFF-Conju),Conju-Atomic-LogP-MaxMinDisRatio (MFF-Conju),Conju-Atomic-LogP-CONJUMAX (MFF-Conju),Conju-Atomic-MR-Sum (MFF-Conju),Conju-Atomic-MR-AtomicMean (MFF-Conju),Conju-Atomic-MR-Maximum (MFF-Conju),Conju-Atomic-MR-Minimum (MFF-Conju),Conju-Atomic-MR-Delta (MFF-Conju),Conju-Atomic-MR-STD (MFF-Conju),Conju-Atomic-MR-MaxMinDisRatio (MFF-Conju),Conju-Atomic-MR-CONJUMAX (MFF-Conju),Max Distance,Branch Index,Stru-VSA,Atomic-LogP-Sum,Atomic-LogP-AtomicMean,Atomic-LogP-Maximum,Atomic-LogP-Minimum,Atomic-LogP-Delta,Atomic-LogP-STD,Atomic-MR-Sum,Atomic-MR-AtomicMean,Atomic-MR-Maximum,Atomic-MR-Minimum,Atomic-MR-Delta,Atomic-MR-STD,typical voltage (V vs RHE),typical current density(mA/cm2),delta_current density ratio,Is Voltage reliable,Is current density reliable,typical pH,typicalelectrolyte,Is_constant_current,cell type,IsPolymerized,smiles,values
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18,0.75,0.97620303,2.097826087,18,248.102,1.783444444,7,1.142857143,1.826797386,292.5678161,0.714285714,-0.9586,-0.053255556,1.1062,-0.2893,1.3955,0.206625211,0.714285714,-0.9586,44.9452,2.496955556,22.85,0.2215,22.6285,1.86580617,0.714285714,44.9452,9,0.222222222,292.5678161,0.4794,0.019975,1.1062,-0.2893,1.3955,0.223181575,54.2792,2.261633333,22.85,0.2215,22.6285,1.675749891,-0.4,1.06069784,-0.041666667,1,1,0,0,0,0,0,O=C(C1=C(C(O)=O)C=C(C(O)=O)C(C(O)=O)=C1)O,52.7
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18,0.75,0.97620303,2.097826087,18,248.102,1.783444444,7,1.142857143,1.826797386,292.5678161,0.714285714,-0.9586,-0.053255556,1.1062,-0.2893,1.3955,0.206625211,0.714285714,-0.9586,44.9452,2.496955556,22.85,0.2215,22.6285,1.86580617,0.714285714,44.9452,9,0.222222222,292.5678161,0.4794,0.019975,1.1062,-0.2893,1.3955,0.223181575,54.2792,2.261633333,22.85,0.2215,22.6285,1.675749891,-0.55,1.301029996,0.666666667,1,1,0,0,0,0,0,O=C(C1=C(C(O)=O)C=C(C(O)=O)C(C(O)=O)=C1)O,40
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15,0.714285714,0.971219324,1.957142857,15,204.093,1.6062,7,0.285714286,1.685714286,247.7284703,0.714285714,-0.4818,-0.03212,1.2513,-0.2893,1.5406,0.206021809,0.714285714,-0.4818,38.7339,2.58226,23.748,0.2215,23.5265,1.788463315,0.714285714,38.7339,9,0,247.7284703,0.7812,0.0372,1.2513,-0.2893,1.5406,0.210994083,47.3199,2.253328571,23.748,0.2215,23.5265,1.610952918,-0.4,0.908485019,-0.325,1,1,0,0,0,0,0,O=C(C1=CC=C(C(O)=O)C(C(O)=O)=C1)O,39.6
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15,0.714285714,0.971219324,1.957142857,15,204.093,1.6062,6,1.166666667,1.685714286,247.7284703,0.166666667,-0.4818,-0.03212,1.2513,-0.2893,1.5406,0.206021809,1,-0.4818,38.7339,2.58226,23.748,0.2215,23.5265,1.788463315,1,38.7339,8,0.25,247.7284703,0.7812,0.0372,1.2513,-0.2893,1.5406,0.210994083,47.3199,2.253328571,23.748,0.2215,23.5265,1.610952918,-0.4,0.86332286,-0.391666667,1,1,0,0,0,0,0,O=C(C1=CC(C(O)=O)=CC(C(O)=O)=C1)O,28.7
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15,0.714285714,0.971219324,1.914285714,15,204.093,1.6062,6,0.333333333,1.6,247.7284703,0.666666667,-0.4818,-0.03212,1.2513,-0.2893,1.5406,0.206021809,1,-0.4818,38.7339,2.58226,23.748,0.2215,23.5265,1.788463315,1,38.7339,8,0,247.7284703,0.7812,0.0372,1.2513,-0.2893,1.5406,0.210994083,47.3199,2.253328571,23.748,0.2215,23.5265,1.610952918,-0.4,0.86923172,-0.383333333,1,1,0,0,0,0,0,O=C(C1=CC=CC(C(O)=O)=C1C(O)=O)O,26.4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,0.705882353,0.96984203,1.742647059,12,162.08,1.506666667,5,1,1.424242424,201.1738149,0.8,-0.487,-0.040583333,0.7914,-0.3239,1.1153,0.213094176,0.8,-0.487,31.3746,2.61455,22.441,0.2215,22.2195,1.650947227,1.2,31.3746,7,0.285714286,201.1738149,0.478,0.028117647,0.7914,-0.3239,1.1153,0.213407699,38.1556,2.244447059,22.441,0.2215,22.2195,1.514004316,-0.4,0.707570176,-0.575,1,1,0,0,0,0,0,O=C(C1=C(C(O)=O)C=CC=N1)O,22.2
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,0.666666667,0.963595213,1.81372549,12,160.084,1.340333333,7,0.285714286,1.560606061,202.8891245,0.142857143,-0.005,-0.000416667,1.3964,-0.2893,1.6857,0.200988378,0.714285714,-0.005,32.5226,2.710216667,24.646,0.2215,24.4245,1.657517843,0.714285714,32.5226,9,0,202.8891245,1.083,0.060166667,1.3964,-0.2893,1.6857,0.191154609,40.3606,2.242255556,24.646,0.2215,24.4245,1.520196329,-0.4,0.447158031,-0.766666667,1,1,0,0,0,0,0,O=C(C1=CC=C(C(O)=O)C=C1)O,13.8
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.933333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.666666667,77.79828483,0.546,0.091,0.6482,-0.2677,0.9159,0.296911822,14.91,2.485,14.91,1.057,13.853,2.361098332,-1.2,0.113943352,0,1,0,0,1,0,0,0,CS,17
0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,50,0.641025641,0.959911027,3.567266067,50,675.81,1.5162,14,0.857142857,2.926122449,720.0019665,0.357142857,4.8096,0.096192,1.5415,-1.3989,2.9404,0.241624345,0.857142857,4.8096,171.149,3.42298,28.28,0,28.28,0.788671402,0.285714286,171.149,16,0.4375,720.0019665,8.2536,0.105815385,1.5415,-1.3989,2.9404,0.193881254,200.745,2.573653846,28.28,0,28.28,1.298789198,-0.8,2.093421685,0.409090909,1,1,1,2,0,1,0,Cl[Fe]123<-N4=C5C=CC4=C(c4ccccc4)c4ccc(n41)C(c1ccccc1)=C1C=CC(=N->21)C(c1ccccc1)=c1ccc(n13)=C5c1ccccc1,-2.7
0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,49,0.636363636,0.957964282,3.587149692,49,643.205,1.126632653,14,0.857142857,2.947278912,667.5004743,0.357142857,4.1201,0.084083673,1.5415,-1.3989,2.9404,0.228567761,0.857142857,4.1201,165.296,3.373387755,28.28,0,28.28,0.715350943,0.285714286,165.296,16,0.4375,667.5004743,7.5641,0.098235065,1.5415,-1.3989,2.9404,0.183292511,194.892,2.531064935,28.28,0,28.28,1.251911726,-0.8,2,0,1,0,1,2,0,1,0,C1=CC2=N3->[Ni]45<-N6=C(C=CC6=C(c6ccccc6)c6ccc(n64)C(c4ccccc4)=C13)C(c1ccccc1)=c1ccc(n15)=C2c1ccccc1,-3.4
